bug_report_url,bug_report_url_redirected,bug_report_title,created_at,status,closure_reason,n_bugs_covered,programming_language,is_anonymously_reported,has_repro_steps,test_present,fix_entity_type,fix_commit_pr_sha,n_files_changed_in_fix,fix_component,is_fail_stop,comment_count,issue_participants_count,closed_at,issue_description_length_chars,issue_first_comment_at,pr_head_commit_sha,pr_commit_count,pr_has_commit_id,pr_review_submission_count,pr_review_rounds_estimate
https://github.com/nokiatech/heif/issues/88,https://github.com/nokiatech/heif/issues/88,Alloc-dealloc-mismatch in iteminfobox.cpp:127:5,2020-08-04T14:07:51Z,closed,Fixed,1,C++,False,True,False,commit,b26a7086cb3eba61872f44c7902c54417f1084d5,30,core/production code,True,1,2,2020-08-12T09:13:54Z,3878,2020-08-12T09:13:54Z,,,,,
https://github.com/TrampolineRTOS/trampoline/issues/125,https://github.com/TrampolineRTOS/trampoline/issues/125,[examples] [posix] [ioc] incorrect format specifier,2023-06-16T02:10:19Z,closed,Fixed,1,C,False,False,False,commit,06080308c14aa8fef9743ab4ad5c4bfecfe769d1,1,core/production code,True,1,3,2023-11-07T17:04:15Z,590,2024-09-25T14:35:57Z,,,,,
https://github.com/thorfdbg/libjpeg/issues/30,https://github.com/thorfdbg/libjpeg/issues/30,Assertion fail in bytestream.hpp:236,2020-08-03T14:43:27Z,closed,Fixed,1,C++,False,True,False,commit,c2e69f4d3950795cd2321b791f5c7693ce5ae7ad,0,core/production code,True,1,2,2020-08-29T08:23:35Z,340,2020-08-29T08:23:35Z,,,,,
https://github.com/FRRouting/frr/issues/18593,https://github.com/FRRouting/frr/issues/18593,bfdd: Session state is not maintained until Detection Time after session goes down,2025-04-06T20:38:48Z,closed,Inactive,1,C,False,False,False,,,0,core/production code,False,2,1,2025-10-11T01:57:33Z,2231,2025-10-04T01:57:30Z,,,,,
https://web.archive.org/web/20201018023240/https://github.com/leonhad/pdftools/issues/3,https://web.archive.org/web/20201018023240/https://github.com/leonhad/pdftools/issues/3,A Segmentation fault in analyze.cpp:74:55,2020-08-06T03:28:10Z,open,Still Open,1,C++,False,,,,,,,,,,,,,,,,,
https://github.com/ARMmbed/mbed-os/pull/15401,https://github.com/ARMmbed/mbed-os/pull/15401,Avoid calling virtual functions from constructors and destructors,2023-04-19T03:50:55Z,closed,Fixed,5,C++,False,False,False,pr,9a82ad670cb23fa2114227303c28bdbcc5a34f07,5,core/production code,False,1,,2023-04-26T08:58:15Z,,,4c3928ecf4336da28316b2d646a7eda4208c5576,1,True,1,1
https://github.com/FRRouting/frr/issues/14647,https://github.com/FRRouting/frr/issues/14647,BGP: Set the peer's state to idle when it is Connect or Active in bgp_collision_detect,2023-10-24T19:26:27Z,closed,Inactive,1,C,False,False,False,discussion,,0,core/production code,False,1,2,2023-10-29T10:26:24Z,7519,2023-10-26T05:06:48Z,,,,,
https://github.com/LibreDWG/libredwg/issues/265,https://github.com/LibreDWG/libredwg/issues/265,An unknown crash in decode.c:2264,2020-08-04T12:26:27Z,closed,Fixed,1,C,False,True,False,commit,eb6b599589e9cae67080814543c2532e8530b0b7,1,core/production code,True,0,2,2020-08-04T16:42:43Z,3146,,,,,,
https://sourceforge.net/p/advancemame/bugs/283/,https://sourceforge.net/p/advancemame/bugs/283/,#283 A Segmentation fault in png.c,2020-08-02T00:00:00Z,open,Still Open,1,C,False,,,,,,,,,,,,,,,,,
https://github.com/scikit-learn/scikit-learn/issues/29464,https://github.com/scikit-learn/scikit-learn/issues/29464,Boundary value problem of `SequentialFeatureSelector` and a suggestion on the document,2024-07-11T05:59:35Z,closed,Invalid,1,Python,False,False,False,discussion,,0,documentation,False,3,3,2024-07-18T15:02:57Z,1074,2024-07-11T08:11:36Z,,,,,
https://github.com/gpac/gpac/issues/1565,https://github.com/gpac/gpac/issues/1565,A Segmentation fault in write_nhml.c:401,2020-08-07T02:28:14Z,closed,Fixed,1,C,False,True,False,commit,9eeac00b38348c664dfeae2525bba0cf1bc32349,2,core/production code,True,1,2,2020-09-01T14:46:14Z,1634,2020-09-01T14:46:28Z,,,,,
